Human Prompt,Cypher Query
"Show me all the methods in the 'Metric' class.","MATCH (c:Class {name:'Metric'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'filter' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'filter'}) RETURN caller.name"
"List all fields in the 'MetricData' class.","MATCH (c:Class {name:'MetricData'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.metric' package.","MATCH (p:Package {name:'com.example.metric'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'record' method.","MATCH (m:Method {name:'record'}) RETURN m.code"
"Which classes import 'io.micrometer.core.instrument.MeterRegistry'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name:'io.micrometer.core.instrument.MeterRegistry'}) RETURN c.name"
"Find all methods that have a 'Timer' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Timer ' RETURN m.name"
"Find classes that are not in any package.","MATCH (c:Class) WHERE c.package IS NULL RETURN c.name"
"Show me the path of the 'settings.xml' file.","MATCH (f:File {path:'settings.xml'}) RETURN f.path"
"List all methods that call themselves.","MATCH (m:Method)-[:CALLS]->(m) RETURN m.name"
"Find the class with the name 'Proxy'.","MATCH (c:Class {name:'Proxy'}) RETURN c.name"
"What does the 'invoke' method call?","MATCH (m:Method {name:'invoke'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'getProxy'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'getProxy'}) RETURN caller.name"
"Get all fields for the 'Advised' class.","MATCH (c:Class {name:'Advised'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'aop' package?","MATCH (p:Package {name:'aop'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'getTarget' in 'Advised' interface.","MATCH (i:Interface {name:'Advised'})-[:HAS_METHOD]->(m:Method {name:'getTarget'}) RETURN m.signature"
"Which classes are AOP advices?","MATCH (c:Class) WHERE c.name ENDS WITH 'Advice' RETURN c.name"
"Find all methods whose name contains 'aspect'.","MATCH (m:Method) WHERE m.name CONTAINS 'aspect' RETURN m.name"
"Get the file path for the 'Pointcut' interface.","MATCH (i:Interface {name:'Pointcut'}) RETURN i.file_path"
"What does the 'matches' method call?","MATCH (m:Method {name:'matches'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'getPointcut'?","MATCH (m:Method {name:'getPointcut'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'Aspect'.","MATCH (c:Class {name:'Aspect'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'setExpression'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'setExpression'}) RETURN caller.name"
"List the fields for 'Proxy' class.","MATCH (c:Class {name:'Proxy'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the 'aop.framework' package.","MATCH (p:Package {name:'aop.framework'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'addAdvice' method.","MATCH (m:Method {name:'addAdvice'}) RETURN m.code"
"Which classes in 'com.example.aop' have a method starting with 'before'?","MATCH (p:Package {name:'com.example.aop'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m) WHERE m.name STARTS WITH 'before' RETURN c.name"
"Show me all methods that return a 'Pointcut'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Pointcut' RETURN m.name"
"What is the parent class of 'AbstractProxy'?","MATCH (c:Class {name:'AbstractProxy'}) RETURN c.extension"
"Find all god classes.","MATCH (c:Class)-[:HAS_METHOD]->(m) WITH c, count(m) AS methodCount WHERE methodCount > 50 RETURN c.name"
"List all methods in the 'Transaction' class.","MATCH (c:Class {name:'Transaction'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'commit' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'commit'}) RETURN caller.name"
"What are the fields in the 'TxStatus' class?","MATCH (c:Class {name:'TxStatus'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.transaction' package.","MATCH (p:Package {name:'com.example.transaction'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'rollback' in 'Transaction'.","MATCH (c:Class {name:'Transaction'})-[:HAS_METHOD]->(m:Method {name:'rollback'}) RETURN m.signature"
"What methods does 'begin' call?","MATCH (m:Method {name:'begin'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Platform' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Platform'}) RETURN c.name"
"Find all methods that return a 'Transaction'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Transaction' RETURN m.name"
"How many methods are in the 'Support' class?","MATCH (c:Class {name:'Support'})-[:HAS_METHOD]->(m) RETURN count(m)"
"Show me all the methods in the 'Event' class.","MATCH (c:Class {name:'Event'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'publish' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'publish'}) RETURN caller.name"
"List all fields in the 'AppEvent' class.","MATCH (c:Class {name:'AppEvent'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.event' package.","MATCH (p:Package {name:'com.example.event'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'onEvent' method.","MATCH (m:Method {name:'onEvent'}) RETURN m.code"
"Which classes implement 'Listener'?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Listener'}) RETURN c.name"
"Find all methods that have an 'Event' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Event ' RETURN m.name"
"Find classes that listen to events but don't publish any.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Listener'}) WHERE NOT (c)-[:HAS_METHOD]->()-[:CALLS]->(m:Method {name:'publish'}) RETURN c.name"
"Show me the path of the 'log.xml' file.","MATCH (f:File {path:'log.xml'}) RETURN f.path"
"List all methods that call 'logger.info'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'logger.info'}) RETURN m.name"
"Find the class with the name 'LogFactory'.","MATCH (c:Class {name:'LogFactory'}) RETURN c.name"
"What does the 'getLog' method call?","MATCH (m:Method {name:'getLog'})-[:CALLS]->(callee) RETURN callee.name"
"Who calls 'debug'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'debug'}) RETURN caller.name"
"Get all fields for the 'LogContext' class.","MATCH (c:Class {name:'LogContext'})-[:HAS_FIELD]->(f) RETURN f.name"
"What interfaces are in the 'log' package?","MATCH (p:Package {name:'log'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Show the signature of 'log' in 'Log' interface.","MATCH (i:Interface {name:'Log'})-[:HAS_METHOD]->(m:Method {name:'log'}) RETURN m.signature"
"Which classes have a 'Log' field?","MATCH (c:Class)-[:HAS_FIELD]->(f:Field {type:'Log'}) RETURN c.name"
"Find all methods whose name contains 'log'.","MATCH (m:Method) WHERE m.name CONTAINS 'log' RETURN m.name"
"Get the file path for the 'Audit' class.","MATCH (c:Class {name:'Audit'}) RETURN c.file_path"
"What does the 'logAccess' method call?","MATCH (m:Method {name:'logAccess'})-[:CALLS]->(callee) RETURN callee.name"
"Which methods are called by 'logFailure'?","MATCH (m:Method {name:'logFailure'})-[:CALLS]->(callee) RETURN callee.name"
"Find all methods in 'Interceptor'.","MATCH (c:Class {name:'Interceptor'})-[:HAS_METHOD]->(m) RETURN m.name"
"Who calls 'audit'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'audit'}) RETURN caller.name"
"List the fields for 'AuditEvent' class.","MATCH (c:Class {name:'AuditEvent'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all interfaces in the 'audit' package.","MATCH (p:Package {name:'audit'})-[:CONTAINS]->(i:Interface) RETURN i.name"
"Get the code for 'create' method.","MATCH (m:Method {name:'create'}) RETURN m.code"
"Which classes in 'com.example.audit' are annotated with '@Service'?","MATCH (p:Package {name:'com.example.audit'})-[:CONTAINS]->(c:Class) WHERE c.code CONTAINS '@Service' RETURN c.name"
"Show me all methods that return an 'AuditEvent'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'AuditEvent' RETURN m.name"
"What is the parent class of 'AbstractAudit'?","MATCH (c:Class {name:'AbstractAudit'}) RETURN c.extension"
"Find all utility classes.","MATCH (c:Class) WHERE c.name ENDS WITH 'Utils' OR c.name ENDS WITH 'Util' RETURN c.name"
"List all methods in the 'Reflection' class.","MATCH (c:Class {name:'Reflection'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Which other methods call the 'find' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'find'}) RETURN caller.name"
"What are the fields in the 'Callback' class?","MATCH (c:Class {name:'Callback'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.util.reflection' package.","MATCH (p:Package {name:'com.example.util.reflection'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the method signature for 'make' in 'Reflection'.","MATCH (c:Class {name:'Reflection'})-[:HAS_METHOD]->(m:Method {name:'make'}) RETURN m.signature"
"What methods does 'doWith' call?","MATCH (m:Method {name:'doWith'})-[:CALLS]->(callee) RETURN callee.name"
"Which classes implement the 'Callback' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Callback'}) RETURN c.name"
"Find all methods that return a 'Field'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'Field' RETURN m.name"
"How many static methods are in 'StringUtils'?","MATCH (c:Class {name:'StringUtils'})-[:HAS_METHOD]->(m) WHERE m.signature CONTAINS 'static' RETURN count(m)"
"Show me all the methods in the 'Scheduler' class.","MATCH (c:Class {name:'Scheduler'})-[:HAS_METHOD]->(m) RETURN m.signature"
"Who calls the 'schedule' method?","MATCH (caller:Method)-[:CALLS]->(m:Method {name:'schedule'}) RETURN caller.name"
"List all fields in the 'Trigger' class.","MATCH (c:Class {name:'Trigger'})-[:HAS_FIELD]->(f) RETURN f.name"
"Find all classes in the 'com.example.scheduler' package.","MATCH (p:Package {name:'com.example.scheduler'})-[:CONTAINS]->(c:Class) RETURN c.name"
"Get the code for the 'next' method.","MATCH (m:Method {name:'next'}) RETURN m.code"
"Which classes implement 'Configurer'?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'Configurer'}) RETURN c.name"
"Find all methods that have a 'Task' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Task ' RETURN m.name"
"Find classes that are scheduled tasks.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS '@Scheduled' RETURN c.name"
"Show me the path of the 'app.properties' file.","MATCH (f:File {path:'app.properties'}) RETURN f.path"
"List all methods that call 'super.clone()'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'super.clone'}) RETURN m.name"
"Find all classes using Guava libraries.","MATCH (c:Class)-[:IMPORTS]->(i) WHERE i.package STARTS WITH 'com.google.common' RETURN c.name;"
"Show me methods that use 'Optional.ofNullable'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'Optional.ofNullable' RETURN m.name;"
"List all usages of 'Preconditions.checkNotNull'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'Preconditions.checkNotNull' RETURN m.name;"
"Find all classes that use a 'CacheLoader'.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'CacheLoader'}) RETURN c.name;"
"Which methods return an 'ImmutableList'?","MATCH (m:Method) WHERE m.signature CONTAINS 'ImmutableList' RETURN m.name;"
"Get all methods that use a 'Stream' API.","MATCH (m:Method) WHERE m.code CONTAINS '.stream()' RETURN m.name;"
"List all terminal operations on streams (e.g., collect, forEach).","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name IN ['collect', 'forEach', 'reduce', 'count'] RETURN m.name;"
"Find all usages of 'flatMap'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'flatMap'}) RETURN m.name;"
"Show me methods that use method references ('::').","MATCH (m:Method) WHERE m.code CONTAINS '::' RETURN m.name;"
"Which classes have a 'CompletableFuture' field?","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.type = 'CompletableFuture' RETURN c.name;"
"Get all methods that use 'thenApply' or 'thenCompose'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name = 'thenApply' OR callee.name = 'thenCompose' RETURN m.name;"
"List all methods that handle asynchronous exceptions with 'exceptionally'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'exceptionally'}) RETURN m.name;"
"Find all usages of 'CompletableFuture.allOf'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'allOf'}) RETURN m.name;"
"Show me methods that create a 'ScheduledExecutorService'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'newScheduledThreadPool' RETURN m.name;"
"Which methods use 'ReentrantLock'?","MATCH (m:Method) WHERE m.code CONTAINS 'new ReentrantLock()' RETURN m.name;"
"Get all methods that call 'lock.lock()' and 'lock.unlock()'.","MATCH (m:Method) WHERE m.code CONTAINS 'lock.lock()' AND m.code CONTAINS 'lock.unlock()' RETURN m.name;"
"List all classes that use 'AtomicInteger' or 'AtomicLong'.","MATCH (c:Class)-[:HAS_FIELD]->(f) WHERE f.type = 'AtomicInteger' OR f.type = 'AtomicLong' RETURN c.name;"
"Find all usages of 'CountDownLatch'.","MATCH (m:Method) WHERE m.code CONTAINS 'new CountDownLatch' RETURN m.name;"
"Show me methods that use 'CyclicBarrier' or 'Semaphore'.","MATCH (m:Method) WHERE m.code CONTAINS 'new CyclicBarrier' OR m.code CONTAINS 'new Semaphore' RETURN m.name;"
"Which methods use 'ThreadLocal' variables?","MATCH (c:Class)-[:HAS_FIELD]->(f:Field {type:'ThreadLocal'}) RETURN c.name;"
"Get all methods using 'java.nio' for file I/O.","MATCH (m:Method) WHERE m.code CONTAINS 'java.nio' RETURN m.name;"
"List all usages of 'Files.readAllBytes'.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'Files.readAllBytes' RETURN m.name;"
"Find all usages of 'ByteBuffer'.","MATCH (m:Method) WHERE m.code CONTAINS 'ByteBuffer.allocate' RETURN m.name;"
"Show me methods that use 'SocketChannel' or 'ServerSocketChannel'.","MATCH (m:Method) WHERE m.code CONTAINS 'SocketChannel.open' OR m.code CONTAINS 'ServerSocketChannel.open' RETURN m.name;"
"Which methods use 'Selectors' for non-blocking I/O?","MATCH (m:Method) WHERE m.code CONTAINS 'Selector.open()' RETURN m.name;"
"Get all methods that perform reflection.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'Class.forName' OR callee.signature CONTAINS '.getMethods()' OR callee.signature CONTAINS '.invoke(' RETURN m.name;"
"List all classes that use 'MethodHandle'.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE m.code CONTAINS 'MethodHandle' RETURN DISTINCT c.name;"
"Find all usages of 'Proxy.newProxyInstance'.","MATCH (m:Method)-[:CALLS]->(callee:Method {name:'newProxyInstance'}) RETURN m.name;"
"Show me all 'InvocationHandler' implementations.","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name:'InvocationHandler'}) RETURN c.name;"
"Which methods access class loaders directly?","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.name = 'getClassLoader' RETURN m.name;"
"Get all methods that use native code (JNI).","MATCH (m:Method) WHERE m.signature CONTAINS ' native ' RETURN m.signature;"
"List all classes that load a native library.","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'System.loadLibrary' RETURN m.name;"
"Find all 'c' or 'cpp' files in the project.","MATCH (f:File) WHERE f.path ENDS WITH '.c' OR f.path ENDS WITH '.cpp' RETURN f.path;"
"Show me the JNI header files (*.h).","MATCH (f:File) WHERE f.path ENDS WITH '.h' AND f.code CONTAINS 'JNIEXPORT' RETURN f.path;"
"Which Java methods are linked to native functions?","MATCH (m:Method) WHERE m.signature CONTAINS ' native ' RETURN m.name;"
"Get all Groovy classes in the project.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.groovy' RETURN c.name;"
"List all usages of Groovy's 'each' closure.","MATCH (m:Method) WHERE m.file_path ENDS WITH '.groovy' AND m.code CONTAINS '.each {' RETURN m.name;"
"Find all 'Spock' test specifications.","MATCH (c:Class) WHERE c.extension = 'spock.lang.Specification' RETURN c.name;"
"Show me the 'when-then' blocks in Spock tests.","MATCH (m:Method) WHERE m.code CONTAINS 'when:' AND m.code CONTAINS 'then:' RETURN m.name;"
"Which classes use 'GroovyShell' to execute scripts?","MATCH (m:Method)-[:CALLS]->(callee) WHERE callee.signature CONTAINS 'new GroovyShell' RETURN m.name;"
"Get all Scala classes in the project.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.scala' RETURN c.name;"
"List all 'case classes' or 'objects'.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.scala' AND (c.signature CONTAINS 'case class' OR c.signature CONTAINS 'object ') RETURN c.name;"
"Find all usages of 'Future' in Scala.","MATCH (m:Method) WHERE m.file_path ENDS WITH '.scala' AND m.code CONTAINS 'Future {' RETURN m.name;"
"Show me all 'Akka' actors.","MATCH (c:Class) WHERE c.file_path ENDS WITH '.scala' AND c.extension = 'Actor' RETURN c.name;"
"Which classes use 'implicit' definitions?","MATCH (c:Class) WHERE c.file_path ENDS WITH '.scala' AND c.code CONTAINS 'implicit' RETURN c.name;"
"Get all 'build.sbt' files.","MATCH (f:File {path: 'build.sbt'}) RETURN f.path;"
"List all library dependencies from 'build.sbt'.","MATCH (f:File {path: 'build.sbt'}) WHERE f.code CONTAINS 'libraryDependencies' RETURN f.code;"
